Planet,Era,Owner,ObjectType,Amount,ReuseEra
Planet,1,Pre-CW,Generate_Force,1,
Planet,2,CW Year 1,Generate_Force,1,
Planet,3,CW Year 2,Generate_Force,1,
Planet,4,CW Year 3,Generate_Force,1,
Planet,5,CW Year 4,Generate_Force,1,
Planet,6,Post-CW,Generate_Force,1,
Aargau,1,Banking_Clan,Generate_Force,1,
Aargau,2,,,,1
Aargau,3,Empire,Generate_Force,1,
Aargau,4,,,,3
Aargau,5,,,,3
Aargau,6,,,,3
Aargonar,1,Independent_Forces,Generate_Force,1,
Aargonar,2,Rebel,Generate_Force,1,
Aargonar,3,Empire,Generate_Force,1,
Aargonar,4,,,,2
Aargonar,5,,,,2
Aargonar,6,,,,2
Abhean,1,Rebel,Generate_Force,1,
Abhean,2,,,,1
Abhean,3,,,,1
Abhean,4,,,,1
Abhean,5,,,,1
Abhean,6,,,,1
Abregado_Rae,1,Empire,Generate_Force,1,
Abregado_Rae,2,,,,1
Abregado_Rae,3,Independent_Forces,Generate_Force,1,
Abregado_Rae,4,,,,3
Abregado_Rae,5,,,,3
Abregado_Rae,6,,,,1
Abridon,1,Independent_Forces,Generate_Force,1,
Abridon,2,,,,1
Abridon,3,,,,1
Abridon,4,,,,1
Abridon,5,,,,1
Abridon,6,,,,1
Abyss,1,Sector_Forces,Generate_Force,1,
Abyss,2,Rebel,Generate_Force,1,
Abyss,3,Empire,Generate_Force,1,
Abyss,4,,,,2
Abyss,5,,,,3
Abyss,6,,,,3
Adumar,1,Independent_Forces,Generate_Force,1,
Adumar,2,,,,1
Adumar,3,,,,1
Adumar,4,,,,1
Adumar,5,,,,1
Adumar,6,,,,1
Aeten,1,Independent_Forces,Generate_Force,1,
Aeten,2,,,,1
Aeten,3,,,,1
Aeten,4,Hutt_Cartels,Generate_Force,1,
Agamar,1,Empire,Generate_Force,1,
Agamar,2,Rebel,Generate_Force,1,
Agamar,3,Independent_Forces,Generate_Force,1,
Agamar,4,,,,2
Agamar,5,,,,2
Agamar,6,,,,2
Agomar,1,Empire,Generate_Force,1,
Agomar,2,,,,1
Agomar,3,,,,1
Agomar,4,,,,1
Agomar,5,,,,1
Agomar,6,,,,1
Aguarl,1,Empire,Generate_Force,1,
Aguarl,2,,,,1
Aguarl,3,,,,1
Aguarl,4,,,,1
Aguarl,5,,,,1
Aguarl,6,,,,1
Aikhibba,1,Hutt_Cartels,Generate_Force,1,
Aikhibba,2,,,,1
Aikhibba,3,,,,1
Aikhibba,4,,,,1
Aikhibba,5,,,,1
Aikhibba,6,,,,1
Ailon,1,Empire,Generate_Force,1,
Ailon,2,,,,1
Ailon,3,,,,1
Ailon,4,,,,1
Ailon,5,,,,1
Ailon,6,,,,1
Akuria,1,Rebel,Generate_Force,1,
Akuria,2,,,,1
Akuria,3,,,,1
Akuria,4,,,,1
Akuria,5,,,,1
Akuria,6,,,,1
Alagon,1,Independent_Forces,Generate_Force,1,
Alagon,2,,,,1
Alagon,3,,,,1
Alagon,4,,,,1
Alagon,5,,,,1
Alagon,6,,,,1
Alaris,1,Empire,Generate_Force,1,
Alaris,2,,,,1
Alaris,3,,,,1
Alaris,4,,,,1
Alaris,5,,,,1
Alaris,6,,,,1
Alaris_Prime,1,Independent_Forces,Generate_Force,1,
Alaris_Prime,2,Empire,Generate_Force,1,
Alaris_Prime,3,,,,2
Alaris_Prime,4,,,,2
Alaris_Prime,5,,,,2
Alaris_Prime,6,,,,2
Alashan,1,Independent_Forces,Generate_Force,1,
Alashan,2,,,,1
Alashan,3,,,,1
Alashan,4,,,,1
Alashan,5,,,,1
Alashan,6,,,,1
Alderaan,1,Empire,Generate_Force,1,
Alderaan,2,,,,1
Alderaan,3,,,,1
Alderaan,4,,,,1
Alderaan,5,,,,1
Alderaan,6,,,,1
Allyuen,1,Sector_Forces,Generate_Force,1,
Allyuen,2,Independent_Forces,Generate_Force,1,
Allyuen,3,Rebel,Generate_Force,1,
Allyuen,4,Empire,Generate_Force,1,
Allyuen,5,,,,2
Allyuen,6,,,,4
Almania,1,Independent_Forces,Generate_Force,1,
Almania,2,,,,1
Almania,3,,,,1
