Planet,Era,Owner,ObjectType,Amount,ReuseEra
AGAMAR,1,Rebel,B1_Droid_Squad,1,
AGAMAR,1,Rebel,NewRep_SenatorsOffice,1,
AGAMAR,1,Rebel,NewRepublic_Star_Base_2,1,
AGAMAR,1,Rebel,R_Ground_Barracks,1,
AGAMAR,1,Rebel,Captor,1,
AGAMAR,1,Rebel,CIS_Shipyard_Level_One,1,
AGAMAR,2,Rebel,B1_Droid_Squad,1,
AGAMAR,2,Rebel,NewRep_SenatorsOffice,1,
AGAMAR,2,Rebel,NewRepublic_Star_Base_2,1,
AGAMAR,2,Rebel,R_Ground_Barracks,1,
AGAMAR,2,Rebel,Captor,1,
AGAMAR,2,Rebel,CIS_Shipyard_Level_One,1,
AGAMAR,3,Rebel,B1_Droid_Squad,1,
AGAMAR,3,Rebel,NewRep_SenatorsOffice,1,
AGAMAR,3,Rebel,NewRepublic_Star_Base_2,1,
AGAMAR,3,Rebel,R_Ground_Barracks,1,
AGAMAR,3,Rebel,Captor,1,
AGAMAR,3,Rebel,CIS_Shipyard_Level_One,1,
AGAMAR,4,Rebel,B1_Droid_Squad,1,
AGAMAR,4,Rebel,Destroyer_Droid_Company,1,
AGAMAR,4,Rebel,NewRep_SenatorsOffice,1,
AGAMAR,4,Rebel,NewRepublic_Star_Base_2,1,
AGAMAR,4,Rebel,R_Ground_Barracks,1,
AGAMAR,4,Rebel,Generic_Providence,1,
AGAMAR,4,Rebel,Captor,1,
AGAMAR,4,Rebel,CIS_Shipyard_Level_One,1,
AGAMAR,5,Rebel,B1_Droid_Squad,1,
AGAMAR,5,Rebel,NewRep_SenatorsOffice,1,
AGAMAR,5,Rebel,NewRepublic_Star_Base_2,1,
AGAMAR,5,Rebel,R_Ground_Barracks,1,
AGAMAR,5,Rebel,Captor,1,
AGAMAR,5,Rebel,CIS_Shipyard_Level_One,1,
AGOMAR,1,Rebel,B1_Droid_Squad,1,
AGOMAR,1,Rebel,NewRep_SenatorsOffice,1,
AGOMAR,1,Rebel,NewRepublic_Star_Base_2,1,
AGOMAR,1,Rebel,R_Ground_Barracks,1,
AGOMAR,1,Rebel,Resource_Industrial_Parts,1,
AGOMAR,1,Rebel,Auxilia,1,
AGOMAR,1,Rebel,C9979_Carrier,1,
AGOMAR,1,Rebel,CIS_Shipyard_Level_One,1,
AGOMAR,2,Rebel,B1_Droid_Squad,1,
AGOMAR,2,Rebel,NewRep_SenatorsOffice,1,
AGOMAR,2,Rebel,NewRepublic_Star_Base_2,1,
AGOMAR,2,Rebel,R_Ground_Barracks,1,
AGOMAR,2,Rebel,Auxilia,1,
AGOMAR,2,Rebel,Resource_Industrial_Parts,1,
AGOMAR,2,Rebel,C9979_Carrier,1,
AGOMAR,2,Rebel,CIS_Shipyard_Level_One,1,
AGOMAR,3,Empire,Clonetrooper_Phase_One_Team,1,
AGOMAR,3,Empire,Republic_AT_PT_Company,1,
AGOMAR,3,Empire,Empire_MoffPalace,1,
AGOMAR,3,Empire,Empire_Star_Base_2,1,
AGOMAR,3,Empire,E_Ground_Barracks,1,
AGOMAR,3,Empire,Resource_Industrial_Parts,1,
AGOMAR,3,Empire,Republic_Shipyard_Level_One,1,
AGOMAR,3,Empire,LAC,1,
AGOMAR,3,Empire,Dreadnaught_Lasers,1,
AGOMAR,4,Empire,Clonetrooper_Phase_One_Team,1,
AGOMAR,4,Empire,Republic_AT_PT_Company,1,
AGOMAR,4,Empire,Empire_MoffPalace,1,
AGOMAR,4,Empire,Empire_Star_Base_2,1,
AGOMAR,4,Empire,E_Ground_Barracks,1,
AGOMAR,4,Empire,Resource_Industrial_Parts,1,
AGOMAR,4,Empire,Republic_Shipyard_Level_One,1,
AGOMAR,4,Empire,LAC,1,
AGOMAR,4,Empire,Dreadnaught_Lasers,1,
AGOMAR,5,Rebel,B1_Droid_Squad,1,
AGOMAR,5,Rebel,NewRep_SenatorsOffice,1,
AGOMAR,5,Rebel,NewRepublic_Star_Base_2,1,
AGOMAR,5,Rebel,R_Ground_Barracks,1,
AGOMAR,5,Rebel,Auxilia,1,
AGOMAR,5,Rebel,Resource_Industrial_Parts,1,
AGOMAR,5,Rebel,C9979_Carrier,1,
AGOMAR,5,Rebel,CIS_Shipyard_Level_One,1,
ALDERAAN,1,Empire,Republic_Trooper_Team,1,
ALDERAAN,1,Empire,Republic_AT_PT_Company,1,
ALDERAAN,1,Empire,Empire_MoffPalace,1,
ALDERAAN,1,Empire,Empire_Star_Base_2,1,
ALDERAAN,1,Empire,E_Ground_Barracks,1,
ALDERAAN,1,Empire,Corellian_Corvette,2,
ALDERAAN,1,Empire,Republic_Shipyard_Level_Two,1,
ALDERAAN,2,Empire,Republic_Trooper_Team,1,
ALDERAAN,2,Empire,Republic_AT_PT_Company,1,
ALDERAAN,2,Empire,Empire_MoffPalace,1,
ALDERAAN,2,Empire,Empire_Star_Base_2,1,
ALDERAAN,2,Empire,E_Ground_Barracks,1,
ALDERAAN,2,Empire,Corellian_Corvette,2,
ALDERAAN,2,Empire,Republic_Shipyard_Level_Two,1,
ALDERAAN,3,Empire,Clonetrooper_Phase_One_Team,1,
ALDERAAN,3,Empire,Republic_AT_PT_Company,1,
ALDERAAN,3,Empire,Empire_MoffPalace,1,
ALDERAAN,3,Empire,Empire_Star_Base_2,1,
ALDERAAN,3,Empire,E_Ground_Barracks,1,
ALDERAAN,3,Empire,Pelta_Support,1,
ALDERAAN,3,Empire,Pelta_Assault,1,
ALDERAAN,3,Empire,Corellian_Corvette,1,
ALDERAAN,3,Empire,Resource_Farmland,1,
ALDERAAN,3,Empire,Republic_Shipyard_Level_Two,1,
ALDERAAN,4,Empire,Clonetrooper_Phase_One_Team,1,
ALDERAAN,4,Empire,Republic_AT_PT_Company,1,
ALDERAAN,4,Empire,Empire_MoffPalace,1,
ALDERAAN,4,Empire,Empire_Star_Base_2,1,
ALDERAAN,4,Empire,E_Ground_Barracks,1,
ALDERAAN,4,Empire,Generic_Acclamator_Assault_Ship_Leveler,3,
ALDERAAN,4,Empire,Generic_Victory_Destroyer,1,
ALDERAAN,4,Empire,Resource_Farmland,1,
ALDERAAN,4,Empire,Republic_Shipyard_Level_Two,1,
ALDERAAN,5,Empire,Clonetrooper_Phase_One_Team,1,
ALDERAAN,5,Empire,Republic_AT_PT_Company,1,
ALDERAAN,5,Empire,Empire_MoffPalace,1,
ALDERAAN,5,Empire,Empire_Star_Base_2,1,
ALDERAAN,5,Empire,E_Ground_Barracks,1,
ALDERAAN,5,Empire,Resource_Farmland,1,
ALDERAAN,5,Empire,Corellian_Corvette,2,
ALDERAAN,5,Empire,Republic_Shipyard_Level_Two,1,
ALSAKAN,1,Empire,Clonetrooper_Phase_One_Team,1,
ALSAKAN,1,Empire,Republic_LAAT_Group,1,
ALSAKAN,1,Empire,Republic_TX130_Company,1,
ALSAKAN,1,Empire,Republic_A5_Juggernaut_Company,2,
ALSAKAN,1,Empire,Corellian_Corvette,1,
ALSAKAN,1,Empire,E_Ground_Heavy_Vehicle_Factory,1,
ALSAKAN,1,Empire,E_Ground_Light_Vehicle_Factory,1,
ALSAKAN,1,Empire,E_Ground_Barracks,1,
ALSAKAN,1,Empire,Empire_MoffPalace,1,
ALSAKAN,1,Empire,Empire_Star_Base_2,1,
ALSAKAN,1,Empire,Generic_Acclamator_Assault_Ship_I,1,
ALSAKAN,1,Empire,Invincible_Cruiser,2,
ALSAKAN,1,Empire,Dreadnaught,2,
ALSAKAN,1,Empire,Republic_Shipyard_Level_One,1,
ALSAKAN,2,Empire,Clonetrooper_Phase_One_Team,1,
ALSAKAN,2,Empire,Republic_LAAT_Group,1,
ALSAKAN,2,Empire,Republic_TX130_Company,1,
ALSAKAN,2,Empire,Republic_A5_Juggernaut_Company,2,
ALSAKAN,2,Empire,Corellian_Corvette,1,
ALSAKAN,2,Empire,E_Ground_Heavy_Vehicle_Factory,1,
ALSAKAN,2,Empire,E_Ground_Light_Vehicle_Factory,1,
ALSAKAN,2,Empire,E_Ground_Barracks,1,
ALSAKAN,2,Empire,Empire_MoffPalace,1,
ALSAKAN,2,Empire,Empire_Star_Base_2,1,
ALSAKAN,2,Empire,Generic_Acclamator_Assault_Ship_I,1,
ALSAKAN,2,Empire,Invincible_Cruiser,2,
